DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2020,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2021,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2022,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2012,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2013,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2014,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2015,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2016,37,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2017,35,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2018,37,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2019,35,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2020,35,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2021,39,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MK,2022,40,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2012,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2013,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2014,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2015,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2016,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2017,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2018,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2019,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2020,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2021,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,MT,2022,51,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,NL,2012,84,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,NL,2013,83,
